# constellation centers,,,,,
# https://pbarbier.com/constellations/,,,,,
#,,,,,
# RA,Right ascension J2000 (decimal hours) of center,,,,
# DEC,Declination J2000 (decimal degrees) of center,,,,
# Area,Constellation area (square degrees),,,,
# Rank,Constellation rank in area,,,,
# Con,Constellation abbreviation,,,,
# Name,Constellation name,,,,
#,,,,,
RA,DEC,Area,Rank,Con,Name
0.6816918,39.592858,722.28,19,And,Andromeda
10.1401302,-33.84212,238.9,62,Ant,Antlia
16.202039,-75.222818,206.33,67,Aps,Apus
19.6476459,2.09636,652.47,22,Aqr,Aquarius
22.4078441,-10.156064,979.85,10,Aql,Aquila
17.3285399,-54.083561,237.06,63,Ara,Ara
2.6623744,19.959053,441.39,39,Ari,Aries
5.9425072,40.621073,657.44,21,Aur,Auriga
14.6276508,29.108047,906.83,13,Boo,Bootes
4.7448994,-38.014894,124.86,81,Cae,Caelum
6.4162224,68.435318,756.83,18,Cam,Camelopardalis
21.022575,-18.550517,413.95,40,Cap,Capricornus
8.9538919,-61.357069,494.18,34,Car,Carina
1.1685514,61.583129,598.41,25,Cas,Cassiopeia
13.070687,-45.016238,1060.42,9,Cen,Centaurus
22.9714794,70.823912,587.79,27,Cep,Cepheus
1.6197811,-8.727667,1231.41,4,Cet,Cetus
10.6950132,-78.993614,131.59,79,Cha,Chamaeleon
14.7708364,-63.076879,93.35,85,Cir,Circinus
6.8302387,-21.857106,380.12,43,CMa,Canis Major
7.6293346,5.897637,183.37,71,CMi,Canis Minor
8.6832192,19.189402,505.87,31,Cnc,Cancer
5.7934937,-35.4414,270.18,54,Col,Columba
12.7529658,22.223305,386.47,42,Com,Coma Berenices
18.6467655,-41.05371,127.7,80,CrA,Corona Australis
15.887232,32.093072,178.71,73,CrB,Corona Borealis
11.4075635,-15.650659,282.4,53,Crt,Crater
12.4481545,-59.992374,68.45,88,Cru,Crux
12.4239258,-18.096379,183.8,70,Crv,Corvus
13.1476296,40.041877,465.19,38,CVn,Cane Venatici
20.6100642,42.536327,803.98,16,Cyg,Cygnus
20.6802408,12.155585,188.55,69,Del,Delphinus
5.1196574,-60.977305,179.17,72,Dor,Dorado
16.657896,64.184601,1082.95,8,Dra,Draco
21.2017824,7.465545,71.64,87,Equ,Equuleus
3.7425048,-20.767627,1137.92,6,Eri,Eridanus
2.7659606,-31.21532,397.5,41,For,Fornax
7.1558504,23.253119,513.76,30,Gem,Gemini
22.5341962,-44.933537,365.51,45,Gru,Grus
17.2875889,28.118352,1225.15,5,Her,Hercules
3.2326672,-52.974629,248.88,58,Hor,Horologium
10.5677493,-17.137458,1302.84,1,Hya,Hydra
2.3679085,-70.98557,243.04,61,Hyi,Hydrus
21.6104956,-58.121953,294.01,49,Ind,Indus
22.4973891,45.040691,200.69,68,Lac,Lacerta
10.6933004,14.780165,946.96,12,Leo,Leo
5.5746528,-18.997856,290.29,51,Lep,Lepus
15.2244733,-15.158926,538.05,29,Lib,Libra
10.3490416,33.320787,231.96,64,LMi,Leo Minor
15.281479,-42.201449,333.68,46,Lup,Lupus
8.0143961,46.232331,545.39,28,Lyn,Lynx
18.8433796,36.524693,286.48,52,Lyr,Lyra
5.4883002,-77.09548,153.48,75,Men,Mensa
20.9646853,-35.937835,209.51,66,Mic,Microscopium
7.0190606,-2.667058,481.57,35,Mon,Monoceros
12.5727924,-69.75414,138.35,77,Mus,Musca
16.0721655,-51.528726,165.29,74,Nor,Norma
20.1275622,-82.631196,291.05,50,Oct,Octans
17.3022478,-5.21711,948.34,11,Oph,Ophiuchus
5.5948885,5.138143,594.12,26,Ori,Orion
19.6064744,-64.784051,377.67,44,Pav,Pavo
22.7015668,19.117211,1120.79,7,Peg,Pegasus
3.4983203,43.884509,615,24,Per,Perseus
0.7654959,-47.18675,469.32,37,Phe,Phoenix
5.6182317,-52.239238,246.74,59,Pic,Pictor
22.2857963,-30.510818,245.37,60,PsA,Piscis Austrinus
0.6482602,10.770362,889.42,14,Psc,Pisces
7.6191621,-32.961463,673.43,20,Pup,Puppis
8.9122056,-28.387602,220.83,65,Pyx,Pyxis
3.8964465,-60.708283,113.94,82,Ret,Reticulum
0.4657625,-31.714312,474.76,36,Scl,Sculptor
16.790259,-31.81767,496.78,33,Sco,Scorpius
18.6730626,-9.851326,109.11,84,Sct,Scutum
16.5001885,4.567581,636.93,23,Ser,Serpens
15.6940214,9.878836,428.48,23,Ser1,Serpens Caput
18.1594009,-6.318851,208.44,23,Ser2,Serpens Cauda
10.2725601,-2.605358,313.52,47,Sex,Sextans
19.7101332,18.628717,79.92,86,Sge,Sagitta
19.1849153,-27.091776,867.43,15,Sgr,Sagittarius
4.422131,16.83941,797.25,17,Tau,Taurus
19.3274808,-50.786922,251.51,57,Tel,Telescopium
16.0630687,-65.641693,109.98,83,TrA,Triangulum Australe
2.1394035,32.057844,131.85,78,Tri,Triangulum
23.8968438,-63.916632,294.56,48,Tuc,Tucana
10.9825315,52.529003,1279.66,3,UMa,Ursa Major
15.256967,76.105337,255.86,56,UMi,Ursa Minor
9.6235624,-47.409512,499.65,32,Vel,Vela
13.2898872,-2.63866,1294.43,2,Vir,Virgo
7.8063845,-69.34626,141.35,76,Vol,Volans
20.286165,24.523796,268.17,55,Vul,Vulpecula
