#,,This is a database of all constellation lines. It is based on the modern constellations in SkySafari.,,
#,,"For each constellation, a number “from” is assigned to each star touching the lines.",,
#,,Two “to” columns list the stars defining lines touching the “from” star.,,
#,,All of the constellation lines can be defined by 1 “from” column and up to 2 “to” columns.,,
#,,"There might be a theorem for this, analogous to the 4 color theorem, but I don't know about it.",,
#,,The “to” columns are most easily assigned by first going around a closed loop and then following appendages back to the loop.,,
#,id,The database primary key in https://github.com/astronexus/HYG-Database/blob/master/hygdata_v3.csv.,,
#,conx,"The constellation index, ordered in an alphabetic sorting of constellation abbreviations.",,
#,from,The number assigned to each star touching lines in a constellation.,,
#,to,The number assigned to each star to end lines in a constellation (2 columns). ,,
#,,,,
id,conx,from,to,to
676,1,1,2,3
5436,1,11,13,2
9618,1,14,,
3086,1,2,3,7
7593,1,16,,
113366,1,8,,
116218,1,10,,
4426,1,12,15,
3685,1,5,6,
7499,1,13,14,
116439,1,9,10,
5423,1,15,16,
116265,1,7,8,9
2906,1,3,12,
3025,1,4,5,2
4453,1,6,,
51027,2,2,3,
46382,2,3,,
53347,2,1,2,
72144,3,1,2,
80819,3,3,4,
81602,3,4,,
79805,3,2,3,4
97338,4,1,2,3
96970,4,3,4,
93452,4,6,,
99156,4,5,8,
95207,4,7,9,4
93510,4,9,10,
95927,4,4,5,6
105936,5,16,17,18
108728,5,12,13,16
112776,5,10,4,
113980,5,5,6,4
112601,5,8,9,11
102287,5,18,19,
110049,5,13,14,
115073,5,2,3,
111147,5,14,15,
112357,5,9,10,
109657,5,11,12,
114362,5,7,8,
114493,5,4,7,8
108793,5,17,,
115304,5,1,2,
114670,5,3,4,
113757,5,6,,
110326,5,15,12,
111359,5,19,,
84999,6,2,3,6
85530,6,1,2,
82826,6,4,5,
85008,6,6,7,
85467,6,7,,
82112,6,5,6,
82898,6,3,4,
9861,7,2,3,
8884,7,1,2,
13176,7,3,4,5
14802,7,4,,
15510,7,5,,
24549,8,1,2,6
25364,8,4,5,
28288,8,2,3,
28309,8,3,4,
22961,8,5,,
23712,8,6,,
69451,9,10,11,
71879,9,8,9,10
67711,9,11,12,
70851,9,3,4,7
74438,9,6,8,
73327,9,4,5,6
70828,9,7,8,
71569,9,9,10,
70274,9,1,2,
67246,9,12,,
69510,9,2,3,
75182,9,5,6,
23467,11,3,,
16187,11,5,,
22730,11,2,3,4
17842,11,4,5,
24197,11,1,2,
107213,12,1,2,
100020,12,6,7,10
99743,12,7,,
106642,12,2,3,
105540,12,5,5,
103804,12,4,6,8
102647,12,12,,
102154,12,11,12,
105175,12,3,4,5
103899,12,9,,
103684,12,8,9,10
100555,12,10,11,
30365,13,1,2,
45106,13,2,3,
40921,13,9,10,
39318,13,11,12,
45425,13,8,9,
35169,13,15,16,
52268,13,4,5,
39644,13,12,13,
47866,13,6,,
31605,13,16,1,
49958,13,3,4,
51428,13,5,6,7
38062,13,14,15,
50229,13,7,8,
38713,13,10,11,
38721,13,13,14,
71456,14,13,11,
68483,14,12,,
68714,14,4,5,
4417,14,3,4,
61739,14,17,14,
3172,14,4,5,
744,14,5,6,
66447,14,11,12,14
71125,14,7,8,
67786,14,10,11,17
6672,14,2,3,
64904,14,2,3,
56392,14,15,,
73107,14,8,,
8867,14,1,2,
67251,14,3,4,6
67259,14,9,10,3
68027,14,6,7,10
55260,14,16,,
59267,14,14,15,16
69867,14,5,,
66941,14,1,2,
104861,16,3,4,
116361,16,1,2,9
105691,16,2,3,9
