#,New names,Names added or modified from hygdata_v3.csv.,,
#,id,The database primary key in https://github.com/astronexus/HYG-Database/blob/master/hygdata_v3.csv.,,
#,bf,"The Bayer / Flamsteed designation, primarily from the Fifth Edition of the Yale Bright Star Catalog. This is a combination of the two designations. The Flamsteed number, if present, is given first; then a three-letter abbreviation for the Bayer Greek letter; the Bayer superscript number, if present; and finally, the three-letter constellation abbreviation. Thus Alpha Andromedae has the field value ""21Alp And"", and Kappa1 Sculptoris (no Flamsteed number) has ""Kap1Scl"".",,
#,proper,"A common name for the star, such as ""Barnard's Star"" or ""Sirius"". I have taken these names primarily from the Hipparcos project's web site, which lists representative names for the 150 brightest stars and many of the 150 closest stars. I have added a few names to this list. Most of the additions are designations from catalogs mostly now forgotten (e.g., Lalande, Groombridge, and Gould [""G.""]) except for certain nearby stars which are still best known by these designations.",,
#,bayer,The Bayer designation as a distinct value,,
#,flam,The Flamsteed number as a distinct value,,
#,,,,
id,bf,proper,bayer,flam
43939,65Alp Cnc,Acubens,Alp,65
50193,36Zet Leo,Adhafera,Zet,36
18485,45Eps Per,Adid Australis,Eps,45
17316,39Del Per,Adid Borealis,Del,39
35169,Pi  Pup,Ahadi,Pi,
20837,74Eps Tau,Ain,Eps,74
107742,Gam Gru,Al Dhanab,Gam,
14292,23Gam Per,Al Fakhbir,Gam,23
96858,18Del Cyg,Al Fawaris,Del,18
57226,63Chi UMa,Al Kaphrah,Chi,63
37633,77Kap Gem,Al Kirkab,Kap,77
81020,23Tau Sco,Al Niyat,Tau,23
79870,20Sig Sco,Al Niyat,Sig,20
42709,Alp Pyx,Al Sumut,Alp,
102287,2Eps Aqr,Albali,Eps,2
59020,1Alp Crv,Alchiba,Alp,1
83638,22Zet Dra,Aldhibah,Zet,22
105691,8Bet Cep,Alfirk,Bet,8
99743,6Alp2Cap,Algedi Secunda,Alp-2,6
52575,Mu  Vel,Alherem,Mu,
76819,16Zet UMi,Alifa al Farkadain,Zet,16
75182,51Mu 1Boo,Alkalurops,Mu-1,51
53584,7Alp Crt,Alkes,Alp,7
35253,54Lam Gem,Alkibash,Lam,54
67786,Zet Cen,Alnair,Zet,
93819,Alp CrA,Alphecca Meridiana,Alp,
95052,Alp Sgr,Alrami,Alp,
9467,113Alp Psc,Alrischa,Alp,113
40959,31    Lyn,Alsciaukat,,31
94081,57Del Dra,Altais,Del,57
40411,17Bet Cnc,Altarf,Bet,17
55055,54Nu  UMa,Alula Borealis,Nu,54
32276,31Xi  Gem,Alzirr,Xi,31
109657,43The Aqr,Ancha,The,43
13254,2Tau2Eri,Angetenar,Tau-2,2
95473,6Alp Vul,Anser,Alp,6
79580,21Eta UMi,Anwar al Farkadain,Eta,21
94946,Bet1Sgr,Arkab Prior,Bet-1,
93213,38Zet Sgr,Ascella,Zet,38
70274,23The Boo,Asellus Primus,The,23
42792,47Del Cnc,Assellus Australis,Del,47
17406,38Omi Per,Atik,Omi,38
62890,43Del Vir,Auva,Del,43
13667,3Eta Eri,Azha,Eta,3
109081,26The Peg,Baham,The,26
8628,55Zet Cet,Baten Kaitos,Zet,55
89660,44Chi Dra,Batentaban Borealis,Chi,44
19538,38Omi1Eri,Beid,Omi,38
66447,Eps Cen,Birdun,Eps,
73486,20Sig Lib,Brachium,Sig,20
64758,46Gam Hya,Cauda Hydrae,Gam,46
78148,Eta Lup,Cerberus,Eta,
61124,8Bet CVn,Chara,Bet,8
54718,70The Leo,Chertan,The,70
100020,9Bet Cap,Dabih Major,Bet,9
14843,Alp For,Dalim,Alp,
107213,49Del Cap,Deneb Algedi,Del,49
64037,42Alp Com,Diadem,Alp,42
91633,4Eps1Lyr,Double Double,Eps-1,4
75229,12Iot Dra,Edasich,Iot,12
18677,35Lam Tau,Elthor,Lam,35
